window_id	source_file	start_s	end_s	duration_s	sample_count	mean_speed_mps	max_speed_mps	mean_abs_steer_filtered	max_abs_steer_filtered	mean_abs_steering_angle_deg	max_abs_steering_angle_deg	mean_abs_lat_accel_desired	max_abs_lat_accel_desired	mean_abs_lat_accel_steering_angle	max_abs_lat_accel_steering_angle	steering_pressed_ratio	lat_active_ratio	eps_fw_version	proxy_score	rank
LSHSD-001	CHRYSLER_PACIFICA_2018/03464.csv	28.600000000006503	29.9000000000068	1.4000000000000001	14	7.214158058168191	7.99027583830853	1.0	1.0	31.983141728996788	39.18908426610482	0.7298089978171431	0.8035797600409413	0.43919698096581483	0.5272761686141447	0.0	1.0	68378884AA	54.68459424943459	1
LSHSD-002	CHRYSLER_PACIFICA_2018/01799.csv	8.200000000029831	13.800000000050204	5.7	57	6.241584792698233	7.986613353493166	0.4214397826205868	0.5977011322975159	0.7805687064799837	1.2999999523162842	0.04510261939526547	0.0861570894256136	0.05787030055039478	0.0969666767176092	0.0	1.0	68378884AA	36.49536009887379	2
LSHSD-003	CHRYSLER_PACIFICA_2018/00865.csv	21.400000001245644	24.400000001420267	3.1	31	5.427957783740995	6.359561509797567	0.4026984402299332	0.5670498013496399	19.40537777291494	21.799932956902385	0.2347765138260326	0.2704932893034046	0.16676373018977025	0.2523418028773987	0.0	1.0	68378884AA	34.255607628997595	3
LSHSD-004	CHRYSLER_PACIFICA_2018/03277.csv	36.80000000214204	39.0000000022701	2.3000000000000003	23	5.990494305786601	7.730700394224002	0.6011828242557897	0.930693617742438	14.673435140676132	19.799999237060547	0.09769736738495656	0.1551727749309308	0.10626294951728413	0.2208327509055678	0.0	1.0	68288891AE	33.35000793620107	4
LSHSD-005	CHRYSLER_PACIFICA_2018/03052.csv	15.50000000090222	17.00000000098953	1.6	16	7.233757099804167	7.999329567684193	0.7326067533727121	0.94239461115229	16.594547243580323	24.000000000000004	0.2172897291417577	0.2677666076635818	0.14175378859016835	0.2969746713889939	0.0	1.0	68288891AE	29.414820148418354	5
LSHSD-006	CHRYSLER_PACIFICA_2018/03114.csv	1.499999999978172	5.799999999915599	4.4	44	4.78387190387896	5.510972482799405	0.3606253404228447	0.4672601380171957	4.909576756861034	6.199999809265138	0.0028505973787888547	0.0071746489873105	0.0019580687828717434	0.0060271780481273	0.0	1.0	68378884AA	29.3265408311736	6
LSHSD-007	CHRYSLER_PACIFICA_2018/02529.csv	41.699999999393185	46.1999999993277	4.6000000000000005	46	5.71235557182881	6.041673560102285	0.360845191285188	0.517089613369101	5.267200196293256	5.599999904632568	0.0159932558389396	0.0269864986651175	0.0066822394042180076	0.0100499180891226	0.0	1.0	68378884AA	28.46266306155622	7
LSHSD-008	CHRYSLER_PACIFICA_2018/01901.csv	0.0	3.900000000014188	4.0	40	5.420853039213303	5.835419437235078	0.4349202979265274	0.5437594127783214	1.7499303363756837	2.5	0.012730323899813312	0.0210350927610967	0.004739608511473941	0.0088859099957495	0.0	1.0	68378884AA	28.06897962964402	8
LSHSD-009	CHRYSLER_PACIFICA_2018/03466.csv	1.999999999998181	4.399999999995998	2.5	25	5.314086374611383	7.014897199922492	0.516344382583389	0.7617314493820498	9.22168581034056	12.599369956701024	0.052471843400384924	0.0963205633597728	0.04303378849814852	0.1036650015171708	0.0	1.0	68378884AA	27.64133087169972	9
LSHSD-010	CHRYSLER_PACIFICA_2018/02536.csv	37.39999999945576	42.09999999938736	4.800000000000001	48	6.705483198136068	7.008374132399648	0.35919224343994305	0.4443437004828965	4.002068882872044	4.400000095367432	0.004120507069560942	0.0124866442440473	0.014861467452088441	0.0255209989257468	0.0	1.0	68378884AA	26.56134563624309	10
LSHSD-011	CHRYSLER_PACIFICA_2018/01034.csv	2.90000000001055	5.00000000001819	2.2	22	4.3576691547635376	4.701021561383743	0.544098887689258	0.8351695623745888	7.180954492763672	10.699999809265137	0.0744337225702061	0.0992716178906358	0.04581214270553067	0.0832905394868071	0.0	1.0	68378884AA	26.55099146192968	11
LSHSD-012	CHRYSLER_PACIFICA_2018/01171.csv	29.400000001711305	33.400000001944136	4.1000000000000005	41	5.387757613042	6.923394857789398	0.3619494208152547	0.4749406306265293	3.2999699539503533	4.0	0.0802899645433307	0.1320109805654923	0.09044175320638222	0.1392277218033008	0.0	1.0	68378884AA	26.33357982430739	12
