severity	R_ohm	L_H	unbalance	i2_over_i1
0.0648	4.0	0.0200	0.165107	0.108796
0.0648	5.0	0.0050	0.150097	0.094384
0.0648	5.0	0.0100	0.162094	0.103892
0.0648	5.0	0.0150	0.164350	0.107145
0.0648	5.0	0.0200	0.164564	0.108500
0.1217	1.0	0.0050	0.289342	0.188545
0.1217	1.0	0.0100	0.285533	0.193566
0.1217	1.0	0.0150	0.282631	0.194563
0.1217	1.0	0.0200	0.280876	0.194917
0.1217	2.0	0.0050	0.282543	0.185066
0.1217	2.0	0.0100	0.283689	0.192440
0.1217	2.0	0.0150	0.281828	0.194037
0.1217	2.0	0.0200	0.280434	0.194616
0.1217	3.0	0.0050	0.276922	0.182681
0.1217	3.0	0.0100	0.281865	0.191419
0.1217	3.0	0.0150	0.281011	0.193533
0.1217	3.0	0.0200	0.279981	0.194322
0.1217	4.0	0.0050	0.272625	0.181277
0.1217	4.0	0.0100	0.280118	0.190527
0.1217	4.0	0.0150	0.280194	0.193060
0.1217	4.0	0.0200	0.279522	0.194038
0.1217	5.0	0.0050	0.269522	0.180629
0.1217	5.0	0.0100	0.278492	0.189774
0.1217	5.0	0.0150	0.279388	0.192621
0.1217	5.0	0.0200	0.279062	0.193766
0.2169	1.0	0.0050	0.436898	0.312448
0.2169	1.0	0.0100	0.430457	0.316076
0.2169	1.0	0.0150	0.427396	0.316778
0.2169	1.0	0.0200	0.425704	0.317025
0.2169	2.0	0.0050	0.431499	0.309277
0.2169	2.0	0.0100	0.429121	0.315117
0.2169	2.0	0.0150	0.426825	0.316336
0.2169	2.0	0.0200	0.425391	0.316774
0.2169	3.0	0.0050	0.426693	0.307015
0.2169	3.0	0.0100	0.427755	0.314238
0.2169	3.0	0.0150	0.426231	0.315911
0.2169	3.0	0.0200	0.425066	0.316527
0.2169	4.0	0.0050	0.422792	0.305626
0.2169	4.0	0.0100	0.426408	0.313462
0.2169	4.0	0.0150	0.425627	0.315509
0.2169	4.0	0.0200	0.424732	0.316289
0.2169	5.0	0.0050	0.419823	0.304934
0.2169	5.0	0.0100	0.425122	0.312799
0.2169	5.0	0.0150	0.425021	0.315135
0.2169	5.0	0.0200	0.424393	0.316059
