kind	file_or_series	fs_mult	bits	lsb_A	floor_lab	floor_quantized
P	NASA Test_10		10			10.5
P	NASA Test_10		20			8.0
P	NASA Test_10		40			5.5
P	NASA Test_11		1			2.5
P	NASA Test_11		2			2.5
P	NASA Test_11		5			2.5
P	NASA Test_11		10			2.0
P	NASA Test_11		20			2.0
P	NASA Test_11		40			1.5
P	NASA Test_12		1			2.0
P	NASA Test_12		2			2.0
P	NASA Test_12		5			1.5
P	NASA Test_12		10			1.5
P	NASA Test_12		20			1.5
P	NASA Test_12		40			1.0
P	NASA Test_14		1			2.0
P	NASA Test_14		2			1.5
P	NASA Test_14		5			1.5
P	NASA Test_14		10			1.5
P	NASA Test_14		20			1.0
P	NASA Test_14		40			1.0
P	KAIST 1000W_0_00_current		1			1.5
P	KAIST 1000W_0_00_current		2			1.0
P	KAIST 1000W_0_00_current		5			0.5
P	KAIST 1000W_0_00_current		10			0.5
P	KAIST 1000W_0_00_current		20			None
P	KAIST 1000W_0_00_current		40			None
P	KAIST 1000W_0_00_current		1			1.5
P	KAIST 1000W_0_00_current		2			1.0
P	KAIST 1000W_0_00_current		5			0.5
P	KAIST 1000W_0_00_current		10			0.5
P	KAIST 1000W_0_00_current		20			None
P	KAIST 1000W_0_00_current		40			None
