group	n	ps_fail_rate	lift_vs_clean	fail_corrosion	fail_damage	fail_leak	fail_security	fail_function	fail_geometry	fail_modification
clean24	16994497	0.000687634	1	2.05949e-05	8.23796e-06	0.000429139	1.44753e-05	0.000257789	4.29551e-06	4.23667e-06
sign24	54431	0.0233323	33.9312	0.00169021	0.000220463	0.0197314	0.000146975	0.00310485	3.67438e-05	9.18594e-05
fail24	11830	0.04235	61.5879	0.000253593	0.000169062	0.0309383	0	0.0153001	8.45309e-05	8.45309e-05
sign24:corrosion	14490	0.0131815	19.1694	0.005245	0.000138026	0.00807453	0	0.00179434	6.90131e-05	6.90131e-05
sign24:damage	588	0.0153061	22.2591	0.00170068	0.00340136	0.0119048	0.00170068	0.00170068	0	0.00170068
sign24:leak	40402	0.0273501	39.7742	0.000544527	0.000247512	0.0242562	0.000148507	0.00363843	4.95025e-05	7.42537e-05
sign24:geometry	86	0	0	0	0	0	0	0	0	0
sign24:modification	37	0.0810811	117.913	0	0.027027	0.0540541	0.027027	0	0	0.027027
sign24:wiring	28	0.0357143	51.9379	0	0	0.0357143	0	0	0	0
