device	run	C_truth	C_record	err_record	C_bus	err_bus	saturated_frac
8	1	0.9967624728934663	1.0026636522389754	0.0059011793455090444	1.0	0.0032375271065336886	0.0
8	2	0.9989925743078389	0.9971668578135572	-0.0018257164942817594	0.9965415532219568	-0.0024510210858821324	0.0
8	3	1.0040720906631533	0.9973574641751958	-0.006714626487957509	1.0	-0.004072090663153283	0.0
8	4	1.0010104796421377	1.0031358514860824	0.002125371843944679	1.0	-0.0010104796421377404	0.0
8	5	0.9269842209741721	0.9693919292736343	0.042407708299462166	0.9669491404753187	0.039964919501146556	0.0
8	6	0.8869678412437285	0.8919796713986864	0.005011830154957875	0.8893855667933598	0.0024177255496312666	0.0
8	7	0.8265851814826884	0.8271888508264504	0.0006036693437619922	0.8279194822796759	0.0013343007969874865	0.0
9	1	0.9978785061813426	1.0088376826404746	0.010959176459132025	1.0066263955076218	0.008747889326279235	0.0
9	2	0.9975418121435087	0.9992741406298123	0.0017323284863036692	1.0	0.002458187856491323	0.0
9	3	1.0021350825220343	1.0007274434352282	-0.0014076390868060784	1.0	-0.002135082522034315	0.0
9	4	1.006614889023249	0.9979470218903115	-0.008667867132937435	1.0	-0.0066148890232489155	0.0
9	5	0.9801037227685725	0.9861511248439105	0.006047402075338049	0.9871305488254536	0.007026826056881097	0.0
9	6	0.9329272711955175	0.938483361481813	0.005556090286295445	0.9402125498420223	0.007285278646504745	0.0
9	7	0.895398167009902	0.9012569455301515	0.005858778520249408	0.8994057100223847	0.004007543012482628	0.0
10	1	0.9291617567974135	0.9121648350139305	-0.016996921783483	0.9112316420530829	-0.017930114744330594	0.0
10	2	1.0000839596869626	1.0508647219954623	0.050780762308499705	1.0527592869041476	0.05267532721718493	0.0
10	3	1.003458358385812	1.1356829445469874	0.13222458616117527	1.133795974232783	0.1303376158469709	0.0
10	4	0.9999160614553992	0.9558715373831933	-0.04404452407220594	0.9544527195814589	-0.0454633418739403	0.0
10	5	0.9400065820197375	0.8919841164059977	-0.048022465613739795	0.8917124287003997	-0.04829415331933784	0.0
10	6	0.9108139143617034	0.8682236187099049	-0.042590295651798504	0.8675369921738871	-0.043276922187816314	0.0
10	7	0.8889121951637556	0.8481421203613473	-0.04077007480240835	0.8452269056060716	-0.043685289557684026	0.0
11	1	0.9942454403156623	0.9989800793115416	0.004734638995879337	1.0	0.00575455968433769	0.0
11	2	0.9982511239370107	1.0005233383783712	0.0022722144413604983	1.0	0.0017488760629893463	0.0
11	3	1.0017581001656042	0.9994774819828615	-0.002280618182742722	1.0	-0.0017581001656041817	0.0
11	4	1.0060649667940607	1.0028336968199558	-0.0032312699741048334	1.0	-0.0060649667940606555	0.0
11	5	0.9920335373942286	0.9954962397186431	0.0034627023244144794	0.9939360981771231	0.0019025607828945246	0.0
11	6	0.9524216724198037	0.9555162652065039	0.003094592786700212	0.9543687484173046	0.00194707599750088	0.0
11	7	0.9238312870777821	0.927259123541274	0.0034278364634919845	0.9239689096866104	0.000137622608828325	0.0
12	1	0.9972942146371306	0.9980990723757326	0.0008048577386019495	1.0	0.0027057853628693618	0.0
12	2	0.9982269229580992	0.9964405642318347	-0.0017863587262645364	0.9939575990364372	-0.004269323921662016	0.0
12	3	1.0017825588896245	1.0021202615517868	0.00033770266216226474	1.0	-0.0017825588896245304	0.0
12	4	1.0079338890698621	1.0019118303844434	-0.006022058685418719	1.0	-0.007933889069862143	0.0
12	5	0.9776009274832262	0.9827614044830015	0.0051604769997752875	0.9821942783695472	0.004593350886320957	0.0
12	6	0.9552556613109072	0.9548157771562983	-0.00043988415460893826	0.9545210558365204	-0.0007346054743868624	0.0
12	7	0.9112742094426776	0.9293870808820871	0.01811287143940954	0.9290623823728946	0.01778817293021706	0.0
14	1	0.9993613563715433	1.0051051722763324	0.005743815904789118	1.0063973127888828	0.007035956417339451	0.0
14	2	1.002982506102095	1.0018081945017452	-0.0011743116003497533	1.0	-0.0029825061020949395	0.0
14	3	1.0006398695744205	0.9976856957672282	-0.0029541738071923174	1.0	-0.0006398695744205263	0.0
14	4	0.998471201397027	0.9982015612845334	-0.00026964011249364095	1.0	0.0015287986029729472	0.0
14	5	0.9191033186948692	0.9145423684602367	-0.004560950234632433	0.9166625583438648	-0.0024407603510043785	0.0
14	6	0.8886140704722925	0.889689185675407	0.0010751152031145406	0.8887113723536956	9.730188140311125e-05	0.0
14	7	0.8675340705535692	0.8730572754409063	0.005523204887337041	0.8756616732150553	0.008127602661486044	0.0
