cmplid	elapsed_s	elapsed_kind	persist	recovery
763207		none	until_reset	ignition
763415		none	until_reset	ignition
763975		none	unreadable	unreadable
764254		none	unreadable	unreadable
764318		none	unreadable	unreadable
764571		none	until_reset	ignition
764655		none	until_reset	ignition
764703		none	until_reset	ignition
765095		none	unreadable	unreadable
765754		none	unreadable	unreadable
766275		none	until_reset	ignition
767135		none	until_reset	ignition
767399		none	unreadable	unreadable
768319		none	unreadable	unreadable
768641		none	unreadable	unreadable
768659		none	unreadable	unreadable
768663		none	until_reset	ignition
768910		none	until_reset	ignition
769037		none	until_reset	ignition
769218		none	unreadable	unreadable
769251		none	until_reset	ignition
769955		none	until_reset	ignition
770501		none	unreadable	unreadable
770520		none	unreadable	unreadable
770622		none	momentary	unreadable
770906		none	until_reset	ignition
771020		none	until_reset	ignition
771099		none	unreadable	unreadable
771258		none	until_reset	ignition
771393		none	until_reset	ignition
771449		none	unreadable	unreadable
773085		none	until_reset	ignition
773518		none	unreadable	unreadable
773654		none	unreadable	unreadable
774640		none	unreadable	unreadable
774871		none	unreadable	unreadable
775759		none	unreadable	unreadable
775785		none	until_reset	ignition
776262		none	unreadable	unreadable
777085		none	unreadable	spontaneous
777850		none	unreadable	unreadable
777895		none	until_reset	ignition
777907		none	until_reset	ignition
778534		none	unreadable	unreadable
778539		none	until_reset	ignition
778924		none	until_reset	ignition
779129		mile	unreadable	unreadable
779222		none	unreadable	unreadable
779398		none	unreadable	unreadable
779450		none	until_reset	ignition
779655		none	until_reset	ignition
779753		none	unreadable	unreadable
779863		none	until_reset	ignition
780641		none	unreadable	unreadable
780798		none	until_reset	ignition
781008		none	unreadable	unreadable
781407		none	until_reset	ignition
782574		none	until_reset	ignition
782864		none	until_reset	ignition
783781		none	unreadable	unreadable
788132		none	unreadable	unreadable
788178		none	unreadable	spontaneous
788736		none	until_reset	ignition
788752		none	until_reset	ignition
789657		none	until_reset	ignition
792292		none	until_reset	ignition
792622		none	unreadable	unreadable
793094		none	until_reset	ignition
794875		none	unreadable	unreadable
795013		none	unreadable	unreadable
795277		none	until_reset	ignition
795698		none	unreadable	unreadable
795952		none	until_reset	ignition
796036		none	until_reset	rest_or_cool
797185		none	until_reset	ignition
797640		none	until_reset	ignition
797791		none	until_reset	ignition
798230		none	unreadable	unreadable
798756		none	unreadable	unreadable
798773		none	until_reset	ignition
799054		none	unreadable	unreadable
799155		none	until_reset	ignition
799435		none	unreadable	unreadable
799671		none	unreadable	unreadable
799692		none	until_reset	ignition
800748		none	until_reset	ignition
800784		none	unreadable	unreadable
800958		none	unreadable	unreadable
801475		none	until_reset	ignition
803296		none	momentary	spontaneous
803965		none	until_reset	ignition
804757		none	unreadable	unreadable
805784		none	until_reset	ignition
805947		none	unreadable	unreadable
806238		none	unreadable	unreadable
806445		none	unreadable	unreadable
810109		none	unreadable	unreadable
810281		none	until_reset	ignition
811153		none	unreadable	unreadable
812869		none	until_reset	ignition
