group	unit	bias_group_held_out	bias_unit_loo	ratio
ES10	ES10C1	0.08535697513514298	-0.004326739883233141	19.7277806012596
ES10	ES10C2	0.12428051939062269	0.014041881220750636	8.85070293907379
ES10	ES10C3	0.11315155860154096	0.008984783631519258	12.593687643695421
ES10	ES10C4	0.1388298263627613	-0.009775243592800818	14.20218586317434
ES10	ES10C5	0.12800467940921673	0.011212817859898137	11.415924258166768
ES10	ES10C6	0.13720665665662218	0.0020093747813624825	68.28325802097876
ES10	ES10C7	0.0985833095499261	0.006389735610194749	15.428386331452835
ES12	ES12C1	-0.052568085653837665	-0.03233248930435549	1.6258595234965794
ES12	ES12C2	-0.062116305801868645	-0.045912599101611655	1.3529250579867127
ES12	ES12C3	-0.025626049263769875	-0.0014311905176250226	17.90540738510119
ES12	ES12C4	-0.03466471401023445	-0.01273024876898884	2.723019372149148
ES12	ES12C5	-0.023156096398301573	0.002268514864531618	10.207601792850774
ES12	ES12C6	-0.029058308626788244	-0.005613917584261764	5.176119561899383
ES12	ES12C7	0.003179114742905377	0.028132568913912765	0.11300477935853089
ES12	ES12C8	-0.012335591012202501	0.00980502952483909	1.2580881047785462
ES14	ES14C1	0.028244860343104524	0.027642858129914436	1.0217778570638691
ES14	ES14C2	-0.03184055665093664	-0.035184088144893	0.904970352501755
ES14	ES14C3	-0.061487316723855844	-0.009593153091285746	6.4095002069454985
ES14	ES14C4	0.07559653555942149	0.07387531964835067	1.0232989301334177
ES14	ES14C5	-0.06114173622614821	-0.042235140243067244	1.4476508394259309
ES14	ES14C6	0.05276170981231267	0.03340266997412452	1.5795656411054773
ES14	ES14C7	-0.04890552720070166	-0.045547546210099286	1.073724739750257
ES14	ES14C8	0.03636590693056561	0.0536604958902831	0.677703519641733
