kind	unit	alpha	rho1	corr_op	corr_op2
real	8	1.3577625245236822	0.15900507188887458	-0.05977290532800608	-0.04656843745004589
real	9	1.4247771049713227	0.16841328934868852	-0.11834823253494577	-0.09806948116760476
real	10	1.4806642220275514	0.9016615053354429	0.7291210960421306	0.7480512124131208
real	11	1.2865330249758986	0.08664128192723006	-0.011401427468070876	0.011355735177296083
real	12	1.1758300235744685	0.1718235475515816	0.0036371474193940944	0.0283128694119352
real	14	1.29200791976821	0.11626012050299969	-0.08681141031717861	-0.08224583906196967
sim	0	0.8352002956896489	-0.0002210003755629834	nan	nan
sim	2	0.8088962093934059	-0.008893980870479695	nan	nan
sim	4	0.8251840058565032	-0.00985086792640757	nan	nan
sim	6	0.8772723451360687	-0.0015950192241168104	nan	nan
sim	8	0.8822131633065755	0.00260707958974274	nan	nan
sim	10	0.806691001362765	0.0032058566269796474	nan	nan
sim	12	0.8273848251967126	0.005780046249874018	nan	nan
sim	14	0.8838703913944326	0.008075401737865763	nan	nan
sim	16	0.824604450344884	0.006718182507889339	nan	nan
sim	18	0.8176118395903711	0.002785594510433626	nan	nan
sim	20	0.8023111501620892	0.003757413870357486	nan	nan
sim	22	0.8431662243393988	-0.0007458944076861609	nan	nan
sim	24	0.7928619367039005	-0.010534011716601307	nan	nan
sim	26	0.8023892230241377	0.006576272130723565	nan	nan
sim	28	0.8959234694768511	0.0035234015882844483	nan	nan
sim	30	0.8567636533671746	-0.006559572806846507	nan	nan
sim	32	0.9005478065162204	-0.011676958257926907	nan	nan
sim	34	0.8007657873659112	0.011303598734377168	nan	nan
sim	36	0.8742159097152569	-0.01067761220530474	nan	nan
sim	38	0.8596831618202574	0.008205896312077238	nan	nan
