v_bus	t_amb	ron0_mohm	rth	i_design	sw_share	output_drop	binding
14.0	125.0	9.0	6.0	20.0	0.25	0.006550526833889236	電圧
14.0	125.0	9.0	6.0	20.0	0.5	0.006550526833889236	電圧
14.0	125.0	9.0	6.0	40.0	0.0	0.10784481891317121	熱
14.0	125.0	9.0	6.0	40.0	0.25	0.10784481891317121	熱
14.0	125.0	9.0	6.0	60.0	0.0	0.10784481891317121	熱
14.0	125.0	9.0	12.0	20.0	0.0	0.04019384483834704	電圧
14.0	125.0	9.0	12.0	20.0	0.25	0.10784481891317099	熱
14.0	125.0	9.0	12.0	20.0	0.5	0.1078448189131711	熱
14.0	125.0	9.0	12.0	40.0	0.0	0.10784481891317116	熱
14.0	125.0	9.0	12.0	60.0	0.0	0.10784481891317116	熱
