segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00043	-0.00103	7e-05	0.02377	0.2	-0.11881	0.02134	-0.14619	0.24	-0.04261	0.67449	-2.17012	-0.99303	2.17012	gain_dev	593	14.62535
00044	-0.00181	0.00013		0.1	-0.0543	0.0232	-0.3882	0.46751		0.0	-0.54029	-0.86258	0.86258	hf_noise	578	12.61776
00045	-0.00045	-0.00023		0.2	-0.43888	0.03511	0.03431	-0.86533		0.67449	-10.25659	-0.02489	10.25659	gain_dev	599	21.77286
00046	-0.00125	-0.00036	0.0447	0.1	-0.02597	0.03395	-0.21356	-1.36444	0.61941	0.0	0.17539	-0.10595	1.36444	drift	599	28.04323
00047	-0.00535	-0.0004	-0.02963	0.0	0.01325	0.02659	-1.48608	-1.50176	-1.73193	-0.67449	1.16635	-0.62418	1.73193	asymmetry	600	15.05812
00048	3e-05	7e-05		0.2	-0.01394	0.02915	0.18152	0.2557		0.67449	0.47945	-0.44406	0.67449	lag	600	25.99288
00049	0.00903	0.00136	-0.03923	0.0	0.05472	0.03041	2.97031	5.00768	-2.0359	-0.67449	2.21397	-0.3555	5.00768	drift	537	14.7911
00050	0.00083	0.00025		0.2	-0.63091	0.05234	0.42858	0.89946		0.67449	-15.10842	1.18702	15.10842	gain_dev	599	34.40071
00052	-0.00171	-0.00012		0.0	-0.0257	0.01404	-0.35762	-0.46874		-0.67449	0.18216	-1.50678	1.50678	hf_noise	600	16.34249
00053	-0.00275	-0.00016	0.0336	0.1	-0.02875	0.02045	-0.68022	-0.60257	0.26822	0.0	0.10528	-1.05561	1.05561	hf_noise	599	16.49993
00054	0.00236	0.00021		0.2	-0.02939	0.03158	0.90371	0.73777		0.67449	0.089	-0.27268	0.90371	bias	599	33.09187
00055	0.00137	6e-05		0.2	-0.24026	0.02063	0.59844	0.19807		0.67449	-5.23867	-1.04293	5.23867	gain_dev	600	19.27882
00057	-0.00075	-0.00023		0.2	-0.14537	0.04129	-0.06151	-0.8616		0.67449	-2.84122	0.41039	2.84122	gain_dev	599	31.39127
00058	-0.00336	-0.0001		0.2	-0.27805	0.02468	-0.86883	-0.3913		0.67449	-6.19331	-0.75806	6.19331	gain_dev	600	26.39302
00059	-0.00144	-0.00049	0.04818	0.1	-0.01301	0.06353	-0.27287	-1.82202	0.72948	0.0	0.50292	1.97464	1.97464	hf_noise	601	21.5373
00060	-0.00962	-0.00031	0.03	0.0	-0.01488	0.04155	-2.81057	-1.17799	0.15439	-0.67449	0.45558	0.42831	2.81057	bias	600	29.69324
00061	-0.0055	-0.00015	0.00312	0.1	0.01472	0.03112	-1.53369	-0.58827	-0.69598	0.0	1.20351	-0.30535	1.53369	bias	599	13.4666
00062	-0.00203	0.00011		0.1	-0.12293	0.01107	-0.45749	0.36744		0.0	-2.27417	-1.71553	2.27417	gain_dev	487	7.71335
00063	-0.00268	0.00026	0.06736	0.2	-0.07004	0.0451	-0.65975	0.92455	1.33616	0.67449	-0.93801	0.67839	1.33616	asymmetry	599	20.19979
00064	0.00013	0.00034		0.1	-0.11527	0.03903	0.21281	1.22436		0.0	-2.08083	0.25098	2.08083	gain_dev	600	18.58018
00065	-0.00081	-0.00047		0.2	-0.11365	0.05451	-0.07737	-1.77294		0.67449	-2.03972	1.34	2.03972	gain_dev	600	32.01308
00066	-0.00253	-0.00016		0.1	-0.02957	0.04025	-0.61107	-0.62369		0.0	0.08457	0.3372	0.62369	drift	600	26.01446
00067	-0.00753	-0.00025	0.01908	0.1	-0.01639	0.05732	-2.16111	-0.96069	-0.19112	0.0	0.41748	1.53779	2.16111	bias	599	29.92152
00068	-0.00427	0.0004	-0.01612	0.0	0.00811	0.02481	-1.15196	1.45071	-1.30455	-0.67449	1.03653	-0.74874	1.45071	drift	600	17.71955
00069	-0.00804	-9e-05	0.00283	0.1	-0.03506	0.02577	-2.31941	-0.36852	-0.70504	0.0	-0.05434	-0.68119	2.31941	bias	554	15.83358
