segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00181	-0.00308	0.0001		0.1	0.02638	0.01183	-0.78104	0.34652		0.0	1.49793	-1.6621	1.6621	hf_noise	368	7.25887
00182	0.00148	0.00032		0.2	-0.30792	0.03433	0.63059	1.17617		0.67449	-6.94794	-0.0793	6.94794	gain_dev	600	24.66009
00183	0.00435	0.00032	0.03612	0.1	-0.02137	0.04381	1.52178	1.15296	0.34808	0.0	0.29168	0.58737	1.52178	bias	599	28.11448
00184	-0.00016	-2e-05		0.2	-0.27332	0.00841	0.12144	-0.08529		0.67449	-6.07384	-1.90219	6.07384	gain_dev	600	9.70375
00185	-0.00055	-4e-05		0.2	-0.38042	0.02382	0.00336	-0.15835		0.67449	-8.77977	-0.81894	8.77977	gain_dev	599	24.29516
00186	-0.00093	-5e-05		0.1	-0.19807	0.01517	-0.115	-0.21798		0.0	-4.17269	-1.42696	4.17269	gain_dev	599	13.90913
00188	-0.00336	0.00055		0.1	-0.05831	0.04091	-0.86818	1.99752		0.0	-0.64169	0.38336	1.99752	drift	599	30.4447
00189	-4e-05	-0.00078	0.00796	0.1	-0.00909	0.04672	0.15994	-2.89233	-0.54297	0.0	0.60191	0.79233	2.89233	drift	600	25.95818
00191	0.0021	0.00014		0.0	0.03237	0.00499	0.82461	0.48692		-0.67449	1.64925	-2.14295	2.14295	hf_noise	433	7.46738
00192	0.00061	6e-05	0.00848	0.1	-0.00269	0.03687	0.3621	0.192	-0.52644	0.0	0.7635	0.09925	0.7635	gain_dev	599	14.53166
00193	0.0017	0.0	0.0038	0.0	-0.02399	0.0172	0.69998	-0.0143	-0.67449	-0.67449	0.2254	-1.28457	1.28457	hf_noise	599	16.52881
00194	0.00141	0.00014		0.2	-0.03373	0.03564	0.60797	0.49323		0.67449	-0.02065	0.01236	0.67449	lag	600	29.09107
00195	-0.00669	-2e-05	0.01975	0.1	-0.01886	0.01416	-1.90017	-0.11232	-0.16994	0.0	0.35501	-1.4979	1.90017	bias	399	14.92686
00196	0.00315	-4e-05	-0.00416	0.1	-0.01719	0.03411	1.14943	-0.16795	-0.92627	0.0	0.39735	-0.09477	1.14943	bias	599	23.69764
00197	-0.00112	-0.00017		0.2	-0.46076	0.01567	-0.17328	-0.65369		0.67449	-10.80941	-1.39211	10.80941	gain_dev	567	14.46043
00198	0.00093	-0.00051	-0.00934	0.1	0.0055	0.03734	0.45959	-1.91466	-1.0901	0.0	0.9704	0.13217	1.91466	drift	338	9.93754
00199	-0.00546	-0.00031	0.05305	0.1	-0.05411	0.04116	-1.52053	-1.18681	0.88353	0.0	-0.53555	0.40122	1.52053	bias	599	29.15015
00200	0.00237	0.0001		0.2	-0.24366	0.0373	0.90566	0.33622		0.67449	-5.32445	0.12928	5.32445	gain_dev	600	25.53999
00201	-0.00039	0.0002		0.2	-0.34952	0.0285	0.05233	0.71812		0.67449	-7.99911	-0.48947	7.99911	gain_dev	600	31.82341
00202	-3e-05	2e-05		0.1	-0.16246	0.00881	0.16368	0.05864		0.0	-3.27306	-1.87456	3.27306	gain_dev	577	9.02253
00203	0.00097	2e-05	0.00837	0.1	-0.00778	0.01271	0.47166	0.03632	-0.53006	0.0	0.63505	-1.59973	1.59973	hf_noise	502	9.88701
00204	-0.00015	7e-05		0.2	-0.42195	0.0253	0.12594	0.23014		0.67449	-9.82901	-0.71429	9.82901	gain_dev	599	23.34178
00205	-0.00033	-1e-05	0.01345	0.2	-0.01592	0.03517	0.06994	-0.04923	-0.36924	0.67449	0.42926	-0.02028	0.67449	lag	599	23.91214
00206	0.00094	0.00014		0.1	-0.04541	0.02217	0.46531	0.49917		0.0	-0.31585	-0.93465	0.93465	hf_noise	600	13.13879
00207	-0.00216	0.00018		0.2	-0.19202	0.02121	-0.4971	0.6521		0.67449	-4.01992	-1.00203	4.01992	gain_dev	599	26.40527
00208	-0.00533	-0.00063	0.06783	0.1	-0.03565	0.07765	-1.48047	-2.36146	1.35116	0.0	-0.06909	2.96762	2.96762	hf_noise	600	24.41729
00209	-0.00119	-0.00018	0.16117	0.2	-0.15423	0.05586	-0.19634	-0.67741	4.30376	0.67449	-3.06504	1.43483	4.30376	asymmetry	599	32.98255
00210	-0.00372	0.00051	0.09082	0.2	-0.06214	0.05648	-0.9813	1.86468	2.07849	0.67449	-0.73831	1.47856	2.07849	asymmetry	600	25.51291
00211	-0.00305	0.00122	0.1416	0.1	-0.03699	0.03711	-0.77433	4.49733	3.68487	0.0	-0.10311	0.11597	4.49733	drift	599	24.72114
00212	-0.00122	-0.00013		0.1	-0.04224	0.03399	-0.20722	-0.4876		0.0	-0.23564	-0.10332	0.4876	drift	599	33.32731
00213	-0.00023	-0.00039		0.2	-0.06742	0.03253	0.10168	-1.47248		0.67449	-0.87183	-0.20602	1.47248	drift	600	30.04159
00215	0.00183	2e-05		0.2	-0.05035	0.01831	0.73823	0.04274		0.67449	-0.44048	-1.2059	1.2059	hf_noise	599	27.76773
00216	-0.00105	8e-05		0.2	-0.04432	0.04897	-0.15355	0.29192		0.67449	-0.28814	0.94998	0.94998	hf_noise	600	29.48423
00217	-0.00749	-0.00042	0.0286	0.1	-0.02206	0.07527	-2.14894	-1.55912	0.11007	0.0	0.27411	2.80006	2.80006	hf_noise	600	21.55352
00218	-0.00221	5e-05		0.2	-0.19102	0.04072	-0.5112	0.17991		0.67449	-3.99463	0.36977	3.99463	gain_dev	599	30.0725
00219	-0.00153	-0.00026	-0.01412	0.0	0.01125	0.01428	-0.30279	-0.99908	-1.24141	-0.67449	1.11571	-1.48973	1.48973	hf_noise	600	9.62215
00220	-0.00121	-0.00014		0.2	-0.11572	0.0556	-0.20292	-0.5249		0.67449	-2.09223	1.41683	2.09223	gain_dev	600	34.40772
00222	-0.00175	-0.00067	0.06957	0.1	-0.03966	0.04409	-0.36999	-2.48782	1.40628	0.0	-0.17058	0.60683	2.48782	drift	599	32.11462
00223	-0.00155	-0.0002	0.05138	0.2	-0.03335	0.02702	-0.30744	-0.76514	0.83059	0.67449	-0.01108	-0.59355	0.83059	asymmetry	600	23.95263
00225	0.00064	0.00055	0.04847	0.0	-0.02584	0.04772	0.37167	2.02189	0.73862	-0.67449	0.17867	0.86225	2.02189	drift	599	34.87729
00227	0.00293	0.00016	0.00454	0.1	-0.00734	0.03927	1.08132	0.58499	-0.65119	0.0	0.64613	0.26814	1.08132	bias	600	26.40611
00228	-0.01057	-3e-05	0.05252	0.1	-0.02613	0.052	-3.10305	-0.12112	0.86667	0.0	0.17135	1.16365	3.10305	bias	599	19.06173
00229	-0.00354	0.00017		0.1	-0.10175	0.00941	-0.92412	0.61625		0.0	-1.73919	-1.83191	1.83191	hf_noise	400	12.21508
00230	0.00035	0.00012		0.2	-0.17203	0.02402	0.2794	0.44003		0.67449	-3.51475	-0.80488	3.51475	gain_dev	600	24.22838
00231	-0.00745	0.00021	0.03839	0.1	-0.01649	0.05192	-2.13558	0.76594	0.41976	0.0	0.41499	1.15776	2.13558	bias	599	30.06847
00232	0.00436	-3e-05	0.08344	0.1	0.00719	0.08747	1.52358	-0.12767	1.84484	0.0	1.01318	3.65795	3.65795	hf_noise	499	19.24831
00233	-0.00745	0.00045	0.05119	0.1	-0.03412	0.06687	-2.13716	1.63113	0.82469	0.0	-0.0305	2.20955	2.20955	hf_noise	599	21.43957
00234	0.01219	0.00108	0.00504	0.0	-0.00659	0.01928	3.95173	3.98711	-0.63518	-0.67449	0.6651	-1.13817	3.98711	drift	372	7.62874
00235	0.00333	-0.00019		0.2	-0.08953	0.03932	1.20481	-0.73383		0.67449	-1.43043	0.27144	1.43043	gain_dev	599	33.07928
00236	-0.00205	-0.00039	0.03836	0.1	-0.02678	0.04439	-0.46357	-1.45199	0.41868	0.0	0.15487	0.62798	1.45199	drift	506	13.58386
00237	0.00035	0.00023	0.00062	0.0	-0.0181	0.02083	0.2823	0.8397	-0.77521	-0.67449	0.37424	-1.02863	1.02863	hf_noise	439	8.70541
00238	-0.00047	0.00017		0.2	-0.06705	0.03397	0.02589	0.60752		0.67449	-0.86236	-0.10444	0.86236	gain_dev	599	27.13265
00239	0.00636	0.00055	0.10301	0.1	-0.04282	0.05357	2.14442	2.02419	2.46389	0.0	-0.25024	1.27347	2.46389	asymmetry	600	21.47154
00240	0.00326	-0.00012		0.1	0.0163	0.0345	1.18141	-0.47666		0.0	1.24334	-0.06745	1.24334	gain_dev	600	17.6809
00241	0.0009	-6e-05	-0.00859	0.0	0.00093	0.03006	0.45273	-0.24365	-1.06647	-0.67449	0.85501	-0.37983	1.06647	asymmetry	599	21.50647
00242	0.00034	-0.00016		0.2	-0.13212	0.03432	0.27929	-0.61614		0.67449	-2.50635	-0.08021	2.50635	gain_dev	599	29.78922
00243	-0.00318	3e-05		0.1	-0.04924	0.02909	-0.81273	0.07383		0.0	-0.41256	-0.44799	0.81273	bias	600	26.9128
00244	0.00038	0.00016		0.2	-0.17913	0.0168	0.29102	0.56561		0.67449	-3.69426	-1.3125	3.69426	gain_dev	408	9.46834
00245	-0.00109	-0.0001		0.2	-0.48642	0.02858	-0.16596	-0.39048		0.67449	-11.45787	-0.48372	11.45787	gain_dev	599	31.88701
00246	-0.01061	-0.00072	0.12926	0.0	-0.041	0.05401	-3.11743	-2.68088	3.29447	-0.67449	-0.20435	1.30487	3.29447	asymmetry	599	31.8465
00247	0.00057	-8e-05	0.02124	0.2	-0.02947	0.0408	0.34934	-0.30771	-0.12267	0.67449	0.08705	0.37593	0.67449	lag	599	21.64852
00248	0.00364	-0.00101	0.00888	0.1	-0.0087	0.05249	1.29955	-3.75203	-0.51376	0.0	0.61176	1.19808	3.75203	drift	600	28.16537
00249	0.00176	-0.00011		0.2	-0.18536	0.02012	0.71946	-0.44458		0.67449	-3.8516	-1.07882	3.8516	gain_dev	600	22.55356
00250	3e-05	6e-05	0.02019	0.1	-0.01522	0.02708	0.18243	0.21492	-0.15612	0.0	0.44689	-0.58911	0.58911	hf_noise	595	17.13227
00251	-0.00423	-0.00029	0.08657	0.1	-0.04807	0.03232	-1.13765	-1.08866	1.94389	0.0	-0.38297	-0.2208	1.94389	asymmetry	599	27.66483
00252	0.00429	0.00031	0.01815	0.0	-0.01749	0.035	1.50305	1.12369	-0.22042	-0.67449	0.38975	-0.03236	1.50305	bias	600	21.21011
00253	0.00359	-0.00015		0.2	-0.03296	0.03156	1.28548	-0.56011		0.67449	-0.00114	-0.27462	1.28548	bias	599	30.21631
00254	-0.0086	-0.00027	0.04908	0.1	-0.00838	0.0485	-2.49256	-1.03035	0.75793	0.0	0.61982	0.91739	2.49256	bias	600	17.93087
00255	-0.00494	0.00052	-0.00987	0.0	0.0004	0.02276	-1.35826	1.90921	-1.10687	-0.67449	0.84155	-0.89309	1.90921	drift	600	19.52173
00256	0.00176	0.0004	0.05906	0.2	-0.07931	0.04846	0.71638	1.4499	1.07351	0.67449	-1.17211	0.91442	1.4499	drift	599	25.88251
00257	-0.00306	-0.00019	0.02404	0.1	-0.04157	0.01389	-0.77546	-0.73524	-0.03432	0.0	-0.21876	-1.51686	1.51686	hf_noise	492	18.77792
00258	-0.0013	0.00067	0.01978	0.0	-0.00682	0.04243	-0.23163	2.45609	-0.16886	-0.67449	0.65935	0.49032	2.45609	drift	599	29.97505
00259	0.00485	2e-05	0.01978	0.1	-0.01959	0.05456	1.67628	0.06828	-0.1689	0.0	0.33672	1.34343	1.67628	bias	599	23.13054
00260	-0.00056	0.00039	0.08624	0.0	-0.0348	0.04837	-0.0027	1.40531	1.93338	-0.67449	-0.04768	0.90785	1.93338	asymmetry	599	14.36381
00261	0.00542	0.00012	0.00396	0.1	-0.00536	0.04072	1.85129	0.43073	-0.66953	0.0	0.69614	0.3703	1.85129	bias	599	26.7133
00262	0.00442	-0.00025		0.2	-0.40749	0.04382	1.54292	-0.94472		0.67449	-9.46355	0.58777	9.46355	gain_dev	599	34.25224
00263	-0.00038	0.00051	0.05331	0.0	-0.01461	0.03354	0.05516	1.87736	0.8918	-0.67449	0.46254	-0.13517	1.87736	drift	599	15.14025
00264	-0.00542	0.00016	0.02256	0.1	-0.01948	0.04335	-1.50734	0.55239	-0.0809	0.0	0.33938	0.55512	1.50734	bias	600	24.12978
00265	-0.00484	8e-05	0.01825	0.1	-0.03397	0.03665	-1.32799	0.26053	-0.21746	0.0	-0.02669	0.08348	1.32799	bias	599	19.69812
00266	-0.00603	0.00011	0.02973	0.1	-0.0263	0.04576	-1.69653	0.39932	0.14571	0.0	0.16718	0.72425	1.69653	bias	600	16.51225
00268	-0.0073	0.00058	0.01225	0.1	-0.01456	0.05301	-2.0891	2.11542	-0.40723	0.0	0.46369	1.23462	2.11542	drift	599	26.47566
00269	-0.00394	0.00021		0.1	0.04533	0.01089	-1.05027	0.76684		0.0	1.97669	-1.72838	1.97669	gain_dev	568	11.10634
00270	-0.00025	0.00037	0.05079	0.2	-0.08614	0.02733	0.09503	1.34211	0.81203	0.67449	-1.34488	-0.5715	1.34488	gain_dev	600	25.80912
00271	0.00244	0.00031	0.00588	0.1	-0.01735	0.03866	0.92796	1.14404	-0.60866	0.0	0.39308	0.22526	1.14404	drift	600	18.34039
00272	0.02545	0.00054	-0.04307	0.1	0.02459	0.04934	8.0608	1.98266	-2.15725	0.0	1.45268	0.97622	8.0608	bias	502	22.17237
00273	-0.01505	-0.00012	0.09804	0.0	-0.02962	0.09975	-4.49102	-0.46719	2.30689	-0.67449	0.08317	4.52184	4.52184	hf_noise	600	26.59527
00274	0.00091	4e-05		0.2	-0.14969	0.00807	0.45417	0.11799		0.67449	-2.95049	-1.92609	2.95049	gain_dev	558	14.01853
00275	1e-05	3e-05	0.01758	0.1	-0.15614	0.01992	0.17448	0.0914	-0.23856	0.0	-3.1132	-1.09329	3.1132	gain_dev	363	10.42703
00276	-0.00609	0.00037	0.08862	0.1	-0.07034	0.04578	-1.71467	1.3295	2.00892	0.0	-0.94558	0.72583	2.00892	asymmetry	600	30.72869
00277	-0.00151	-0.00022	0.12526	0.2	-0.15249	0.045	-0.29446	-0.85306	3.16787	0.67449	-3.02101	0.67086	3.16787	asymmetry	599	24.661
00278	-0.00209	0.0007	0.02817	0.1	-0.02566	0.04577	-0.47412	2.57336	0.09648	0.0	0.18314	0.72487	2.57336	drift	600	30.81223
00279	0.00593	-0.00117	0.03147	0.0	-0.02475	0.05316	2.00901	-4.34622	0.20084	-0.67449	0.20634	1.24481	4.34622	drift	600	31.46845
00280	0.00073	0.00033	0.01072	0.2	-0.00641	0.05004	0.39743	1.20556	-0.45554	0.67449	0.66947	1.02573	1.20556	drift	599	27.46632
00281	0.00626	0.0005	0.06146	0.1	-0.0196	0.03476	2.11342	1.83202	1.14966	0.0	0.33627	-0.04912	2.11342	bias	599	22.87431
00282	-0.00207	-1e-05		0.2	-0.10285	0.03352	-0.46928	-0.06123		0.67449	-1.76705	-0.13673	1.76705	gain_dev	599	31.0343
00283	0.00267	0.00013	0.09002	0.1	-0.07723	0.04164	0.99891	0.46227	2.05306	0.0	-1.1197	0.43449	2.05306	asymmetry	599	24.97185
00284	-0.00122	-0.00051	0.14014	0.0	-0.01995	0.0334	-0.20622	-1.89639	3.63851	-0.67449	0.32754	-0.14452	3.63851	asymmetry	599	26.08896
00285	-0.0075	-0.00025		0.1	-0.01487	0.02548	-2.15273	-0.96218		0.0	0.45582	-0.7021	2.15273	bias	599	21.93542
00286	0.00322	0.00033		0.2	-0.27069	0.04287	1.16905	1.21482		0.67449	-6.00748	0.52087	6.00748	gain_dev	599	26.22287
00287	-0.00073	1e-05		0.1	-0.01122	0.01516	-0.05299	0.02657		0.0	0.54811	-1.42739	1.42739	hf_noise	599	14.9699
00288	-0.00152	0.00017	0.00013	0.1	0.00332	0.01463	-0.29883	0.59776	-0.79066	0.0	0.91549	-1.46467	1.46467	hf_noise	461	9.73522
00289	-0.00234	-0.00032	0.01406	0.1	-0.00838	0.05304	-0.55248	-1.19073	-0.34998	0.0	0.61973	1.23653	1.23653	hf_noise	600	26.4457
00290	0.0045	-0.00034		0.1	-0.02103	0.02569	1.56584	-1.28812		0.0	0.30023	-0.68728	1.56584	bias	600	23.63843
00291	-0.00282	5e-05	0.0217	0.1	-0.02916	0.02988	-0.70065	0.17326	-0.10827	0.0	0.09477	-0.39242	0.70065	bias	600	20.93589
00292	0.00283	2e-05		0.2	-0.25962	0.02262	1.04824	0.04653		0.67449	-5.72778	-0.9028	5.72778	gain_dev	599	26.87325
00293	0.00258	2e-05	0.01853	0.1	-0.01451	0.02611	0.97148	0.05853	-0.2084	0.0	0.46491	-0.65786	0.97148	bias	599	22.05687
00294	0.00598	0.00017	0.05658	0.0	-0.01796	0.04488	2.02649	0.5995	0.99507	-0.67449	0.37769	0.66247	2.02649	bias	600	25.79212
00295	-0.00436	0.00024	0.02423	0.0	-0.00182	0.03579	-1.17978	0.87131	-0.02834	-0.67449	0.78567	0.02295	1.17978	bias	600	20.35711
00296	-3e-05	5e-05	0.06504	0.1	-0.03334	0.04962	0.1626	0.15492	1.26271	0.0	-0.01072	0.99619	1.26271	asymmetry	600	30.07073
00297	-0.0027	-4e-05		0.1	-0.00332	0.01178	-0.66436	-0.16283		0.0	0.74773	-1.66559	1.66559	hf_noise	387	7.42886
00299	-0.00025	-5e-05		0.2	-0.07643	0.04601	0.09456	-0.20602		0.67449	-1.09953	0.74171	1.09953	gain_dev	600	33.42971
00300	-0.00055	-0.0001		0.2	-0.26322	0.01223	0.00062	-0.38418		0.67449	-5.81862	-1.63355	5.81862	gain_dev	512	19.71162
00301	-0.00209	-0.00046		0.2	-0.02293	0.03251	-0.47497	-1.72753		0.67449	0.25233	-0.20729	1.72753	drift	599	28.1084
00302	0.0003	0.00103	0.05101	0.0	-0.03212	0.05291	0.26393	3.77632	0.8191	-0.67449	0.01999	1.22745	3.77632	drift	600	28.4953
00303	0.00451	-0.00019	0.04062	0.0	-0.01813	0.02992	1.56941	-0.73811	0.49043	-0.67449	0.37342	-0.38972	1.56941	bias	600	30.83911
00304	-0.00206	0.00048	0.03448	0.2	-0.05897	0.02723	-0.46569	1.74481	0.29616	0.67449	-0.65828	-0.57883	1.74481	drift	490	17.88842
00305	-0.00227	0.00014		0.2	-0.05671	0.03791	-0.53083	0.50709		0.67449	-0.60115	0.17215	0.67449	lag	599	27.16876
00306	-0.00193	-0.00017		0.2	-0.19596	0.00976	-0.4249	-0.64413		0.67449	-4.11934	-1.8073	4.11934	gain_dev	600	15.41762
00307	0.00306	0.00032	0.04457	0.1	-0.02169	0.05423	1.12233	1.17967	0.6152	0.0	0.28353	1.32017	1.32017	hf_noise	600	31.0082
00308	0.00225	-0.00068	0.08308	0.1	-0.00707	0.061	0.86976	-2.53782	1.83341	0.0	0.65282	1.79622	2.53782	drift	599	26.39774
00309	0.0024	5e-05	0.00397	0.1	-0.0084	0.03423	0.91742	0.16287	-0.66899	0.0	0.61936	-0.0868	0.91742	bias	600	21.99826
00310	4e-05	-0.0003		0.1	-0.13625	0.0435	0.18352	-1.1278		0.0	-2.61087	0.56532	2.61087	gain_dev	599	25.16437
00311	-0.01073	-0.00078	0.11277	0.1	-0.11494	0.04857	-3.15385	-2.92402	2.77269	0.0	-2.07243	0.92214	3.15385	bias	600	30.55601
00312	-0.00693	-0.00028	0.06123	0.1	-0.04507	0.04279	-1.9751	-1.05054	1.1422	0.0	-0.30714	0.51581	1.9751	bias	600	24.46733
00313	-0.00501	4e-05	0.07198	0.2	-0.11869	0.04694	-1.38056	0.14199	1.4823	0.67449	-2.16722	0.80728	2.16722	gain_dev	599	22.85637
00314	0.00831	-0.00025	0.13837	0.1	-0.19203	0.04806	2.7489	-0.94428	3.58247	0.0	-4.02013	0.88631	4.02013	gain_dev	600	24.36041
00315	0.06047	0.00448	-0.15433	0.1	0.06529	0.04805	18.91531	16.54317	-5.67684	0.0	2.48097	0.88587	18.91531	bias	600	14.83266
00316	5e-05	9e-05	0.04133	0.2	-0.1022	0.02584	0.18693	0.32166	0.5127	0.67449	-1.75056	-0.67631	1.75056	gain_dev	600	17.82862
00317	0.00087	0.00044	0.01082	0.1	-0.00591	0.0277	0.44252	1.60572	-0.45248	0.0	0.68234	-0.54605	1.60572	drift	503	18.54561
00318	-0.00269	0.00012		0.2	-0.14229	0.02139	-0.66201	0.41639		0.67449	-2.7633	-0.98977	2.7633	gain_dev	561	19.44226
00319	-0.00068	-0.00021		0.2	-0.26908	0.01564	-0.0393	-0.78637		0.67449	-5.96682	-1.39373	5.96682	gain_dev	600	17.70008
00320	-0.00665	0.00026		0.2	-0.04081	0.03717	-1.89023	0.95056		0.67449	-0.19964	0.11997	1.89023	bias	599	30.41301
00321	-0.01156	0.00015	0.02737	0.0	-0.01322	0.07761	-3.41146	0.52757	0.07115	-0.67449	0.49744	2.96427	3.41146	bias	600	30.2278
00322	-0.00781	-0.00026	0.05445	0.0	-0.02064	0.06683	-2.24726	-0.97128	0.92793	-0.67449	0.3101	2.20612	2.24726	bias	600	26.13455
00323	-0.0011	-0.00019		0.1	-0.0535	0.02561	-0.17012	-0.72188		0.0	-0.52015	-0.69308	0.72188	drift	598	24.39352
00324	-0.00048	0.00035		0.1	-0.01499	0.04236	0.02245	1.25698		0.0	0.45276	0.48547	1.25698	drift	599	25.31982
00325	0.00278	-0.0001	-0.00168	0.1	-0.00776	0.01936	1.03273	-0.38835	-0.84802	0.0	0.63536	-1.13199	1.13199	hf_noise	599	15.62857
00326	0.00652	-0.00042		0.1	-0.02125	0.04334	2.19218	-1.57305		0.0	0.29477	0.55406	2.19218	bias	600	23.33562
00327	-0.00028	6e-05	-0.007	0.0	0.02738	0.01096	0.08594	0.2183	-1.01601	-0.67449	1.52341	-1.72339	1.72339	hf_noise	600	9.72522
00330	-0.00084	1e-05	0.03692	0.1	-0.0237	0.04386	-0.08693	0.02723	0.37334	0.0	0.23287	0.59113	0.59113	hf_noise	600	19.78419
00331	0.00725	0.00055	0.03603	0.0	-0.0247	0.03825	2.41949	2.01434	0.34516	-0.67449	0.20748	0.1966	2.41949	bias	600	16.5304
00332	-0.01408	0.00093	0.05057	0.1	-0.0105	0.10638	-4.19174	3.42518	0.80511	0.0	0.56615	4.98792	4.98792	hf_noise	600	21.66966
00333	-0.00208	-0.00043		0.2	-0.22991	0.04863	-0.4728	-1.61403		0.67449	-4.97718	0.926	4.97718	gain_dev	599	31.47654
00334	-0.00116	-0.0002		0.2	-0.24139	0.02616	-0.18605	-0.76596		0.67449	-5.26719	-0.65388	5.26719	gain_dev	599	24.5307
00335	-0.00026	4e-05	0.07675	0.1	-0.0298	0.06022	0.09334	0.12234	1.63316	0.0	0.07853	1.74181	1.74181	hf_noise	599	25.98145
00336	0.0005	0.00053	0.13866	0.2	-0.09122	0.0569	0.32602	1.934	3.59177	0.67449	-1.47308	1.50795	3.59177	asymmetry	600	30.23492
00337	0.00561	-0.00154	0.01987	0.0	-0.01868	0.07491	1.91129	-5.7199	-0.16615	-0.67449	0.35963	2.77484	5.7199	drift	600	29.34238
00338	0.01255	0.00071	0.02881	0.0	-0.01042	0.04845	4.06352	2.6095	0.11671	-0.67449	0.56838	0.91337	4.06352	bias	485	14.70602
00340	-0.00136	-0.00015	0.19032	0.2	-0.0832	0.0412	-0.2481	-0.58782	5.22602	0.67449	-1.27041	0.40355	5.22602	asymmetry	599	28.84155
00341	0.00183	0.0001	0.01319	0.1	-0.02367	0.03038	0.74096	0.34677	-0.37752	0.0	0.23344	-0.35722	0.74096	bias	599	20.97906
00342	-0.00441	-0.00025	0.04353	0.2	-0.03556	0.07434	-1.19412	-0.95993	0.58221	0.67449	-0.06685	2.73455	2.73455	hf_noise	599	26.48855
00343	-0.00171	0.00019	-0.00179	0.0	-0.00166	0.03151	-0.35774	0.69794	-0.85139	-0.67449	0.78957	-0.27795	0.85139	asymmetry	599	21.68348
00344	-0.00327	0.00038	-0.01491	0.1	0.01315	0.02757	-0.84216	1.39015	-1.26644	0.0	1.16385	-0.55487	1.39015	drift	600	17.95069
00345	-0.00675	0.00085	0.04676	0.0	0.00352	0.03823	-1.91857	3.13175	0.68467	-0.67449	0.92035	0.19489	3.13175	drift	599	23.63668
00346	0.00085	0.00013		0.2	-0.17438	0.0469	0.43498	0.46224		0.67449	-3.57416	0.80467	3.57416	gain_dev	599	23.32503
00347	-0.00662	0.00062		0.0	0.1103	0.03463	-1.8807	2.26175		-0.67449	3.61835	-0.05823	3.61835	gain_dev	583	14.59308
00348	0.00415	-0.00015	0.02435	0.2	-0.01018	0.02929	1.45925	-0.58777	-0.02455	0.67449	0.57432	-0.43402	1.45925	bias	577	16.52301
00349	-0.00016	4e-05		0.1	-0.04493	0.00532	0.12209	0.13867		0.0	-0.30362	-2.12001	2.12001	hf_noise	444	8.24881
00350	0.00336	5e-05		0.1	-0.03464	0.04697	1.21381	0.16985		0.0	-0.04358	0.80981	1.21381	bias	600	19.83826
00351	-0.00213	0.00028		0.2	-0.07253	0.03383	-0.48884	1.01416		0.67449	-1.00096	-0.11427	1.01416	drift	599	24.10987
00352	0.00287	0.00073	0.02221	0.1	-0.02229	0.04919	1.06143	2.69829	-0.09196	0.0	0.26831	0.96558	2.69829	drift	599	26.64087
00353	-0.00336	-0.00012		0.1	-0.23618	0.01372	-0.86778	-0.45382		0.0	-5.13552	-1.52911	5.13552	gain_dev	600	14.46
00354	0.00157	-0.00011	0.00886	0.0	-0.00567	0.01166	0.65759	-0.44267	-0.51431	-0.67449	0.68829	-1.67386	1.67386	hf_noise	600	12.01842
00355	0.00025	0.00012	-0.00153	0.1	0.00395	0.02474	0.25009	0.43584	-0.84318	0.0	0.93142	-0.75368	0.93142	gain_dev	599	15.4069
00356	-0.00192	4e-05	-0.01977	0.0	0.00658	0.0317	-0.42173	0.12072	-1.4202	-0.67449	0.99791	-0.26415	1.4202	asymmetry	599	18.55397
00357	-0.00488	0.00036		0.0	-0.04365	0.02568	-1.34055	1.30408		-0.67449	-0.27119	-0.68803	1.34055	bias	600	25.18325
00358	0.02927	-0.00237	0.1534	0.1	-0.0491	0.04232	9.24629	-8.79311	4.05808	0.0	-0.4089	0.4826	9.24629	bias	562	13.99371
00359	-0.00246	0.00027	0.09756	0.2	-0.06228	0.0522	-0.59078	0.98677	2.29147	0.67449	-0.74185	1.17755	2.29147	asymmetry	600	28.27562
00360	-0.00095	-0.0001		0.1	-0.08851	0.03193	-0.12103	-0.38925		0.0	-1.40465	-0.24797	1.40465	gain_dev	599	21.91907
00361	0.00063	0.00016		0.2	-0.03895	0.03784	0.36622	0.56219		0.67449	-0.15259	0.16749	0.67449	lag	600	25.08638
00362	0.00021	-1e-05	-0.00025	0.1	-0.1334	0.00935	0.23641	-0.07665	-0.80268	0.0	-2.53891	-1.83621	2.53891	gain_dev	541	10.13982
00363	-0.01128	0.0005	0.13811	0.1	-0.1682	0.06164	-3.32255	1.84594	3.57445	0.0	-3.41795	1.84159	3.57445	asymmetry	512	19.48164
00364	-5e-05	-1e-05		0.2	-0.36784	0.00802	0.15681	-0.05787		0.67449	-8.46197	-1.92987	8.46197	gain_dev	599	9.24372
00365	-0.00126	-8e-05	0.05454	0.2	-0.07159	0.05187	-0.21815	-0.31327	0.93075	0.67449	-0.97727	1.15426	1.15426	hf_noise	599	24.7558
00366	-0.00099	-0.0003		0.2	-0.13737	0.04395	-0.13436	-1.11683		0.67449	-2.63918	0.59694	2.63918	gain_dev	600	25.13912
00367	-0.00117	-0.0001	0.00272	0.1	-0.02585	0.0077	-0.1905	-0.39252	-0.70865	0.0	0.1785	-1.95257	1.95257	hf_noise	600	8.75517
