device	alpha_now	alpha_new	floor_now	floor_new	fa_now	fa_new	fire_now	fire_new
8	1.3577625245236826	1.303302254090567	0.2252738899822001	0.20850069633496074	0.0	23110.112359550563	5	5
9	1.4247771049713231	1.21703973786815	0.22105603011685543	0.1959865553179803	19503.722084367248	1607.940446650124	5	5
10	1.4806642220275525	1.4925003805815922	0.2945331151552563	0.2931419274981579	118.1780878128847	132.95034878949528	5	5
11	1.2865330249759	1.0484938329396551	0.20950934474227323	0.19413499110685795	24840.447575631995	29.838375466224615	5	5
12	1.1758300235744676	1.3006415457295026	0.20835268589957576	0.18924263812133105	27043.689320388352	2140.776699029126	5	5
14	1.29200791976821	1.3444622418706227	0.22061402222915688	0.20739572336527584	0.0	45614.28571428571	5	5
